src,src_port,dst,dst_port,protocol,occurrences
185.168.199.135,49612,192.168.199.134,445,TCP,1
188.168.199.134,445,192.168.199.135,49612,TCP,1
188.168.199.135,49612,192.168.199.134,445,TCP,1
189.168.199.134,445,192.168.199.135,49612,TCP,1
191.168.199.135,49612,192.168.199.134,445,TCP,1
192.0.199.134,445,192.168.199.135,49612,TCP,1
192.1.199.134,445,192.168.199.135,49612,TCP,1
192.10.199.134,445,192.168.199.135,49612,TCP,1
192.10.199.135,49612,192.168.199.134,445,TCP,1
192.100.199.134,445,192.168.199.135,49612,TCP,1
192.100.199.135,49612,192.168.199.134,445,TCP,1
192.101.199.134,445,192.168.199.135,49612,TCP,1
192.101.199.135,49612,192.168.199.134,445,TCP,1
192.102.199.134,445,192.168.199.135,49612,TCP,1
192.102.199.135,49612,192.168.199.134,445,TCP,1
192.103.199.134,445,192.168.199.135,49612,TCP,1
192.103.199.135,49612,192.168.199.134,445,TCP,1
192.104.199.134,445,192.168.199.135,49612,TCP,1
192.104.199.135,49612,192.168.199.134,445,TCP,1
192.105.199.134,445,192.168.199.135,49612,TCP,1
192.105.199.135,49612,192.168.199.134,445,TCP,1
192.106.199.134,445,192.168.199.135,49612,TCP,1
192.106.199.135,49612,192.168.199.134,445,TCP,1
192.107.199.134,445,192.168.199.135,49612,TCP,1
192.107.199.135,49612,192.168.199.134,445,TCP,1
192.108.199.134,445,192.168.199.133,49671,TCP,1
192.108.199.134,445,192.168.199.135,49612,TCP,1
192.108.199.135,49612,192.168.199.134,445,TCP,1
192.109.199.134,445,192.168.199.135,49612,TCP,1
192.109.199.135,49612,192.168.199.134,445,TCP,1
192.110.199.134,445,192.168.199.135,49612,TCP,1
192.110.199.135,49612,192.168.199.134,445,TCP,1
192.111.199.134,445,192.168.199.135,49612,TCP,1
192.111.199.135,49612,192.168.199.134,445,TCP,1
192.112.199.134,445,192.168.199.135,49612,TCP,1
192.112.199.135,49612,192.168.199.134,445,TCP,1
192.113.170.170,43690,170.170.170.170,43690,TCP,1
192.113.199.134,445,192.168.199.135,49612,TCP,1
192.113.199.135,49612,192.168.199.134,445,TCP,1
192.114.199.134,445,192.168.199.135,49612,TCP,1
192.114.199.135,49612,192.168.199.134,445,TCP,1
192.115.199.134,445,192.168.199.135,49612,TCP,1
192.115.199.135,49612,192.168.199.134,445,TCP,1
192.116.199.134,445,192.168.199.133,49671,TCP,1
192.116.199.134,445,192.168.199.135,49612,TCP,1
192.116.199.135,49612,192.168.199.134,445,TCP,1
192.117.199.134,445,192.168.199.135,49612,TCP,1
192.117.199.135,49612,192.168.199.134,445,TCP,1
192.118.199.134,445,192.168.199.135,49612,TCP,1
192.118.199.135,49612,192.168.199.134,445,TCP,1
192.119.199.134,445,192.168.199.135,49612,TCP,1
192.119.199.135,49612,192.168.199.134,445,TCP,1
192.12.199.134,445,192.168.199.135,49612,TCP,1
192.120.199.134,445,192.168.199.133,49671,TCP,1
192.120.199.134,445,192.168.199.135,49612,TCP,1
192.120.199.135,49612,192.168.199.134,445,TCP,1
192.121.199.134,445,192.168.199.135,49612,TCP,1
192.121.199.135,49612,192.168.199.134,445,TCP,1
192.122.199.134,445,192.168.199.135,49612,TCP,1
192.123.199.134,445,192.168.199.135,49612,TCP,1
192.123.199.135,49612,192.168.199.134,445,TCP,1
192.125.199.134,445,192.168.199.135,49612,TCP,1
192.126.199.135,49612,192.168.199.134,445,TCP,1
192.127.199.135,49612,192.168.199.134,445,TCP,1
192.128.199.134,445,192.168.199.135,49612,TCP,1
192.129.199.135,49612,192.168.199.134,445,TCP,1
192.13.199.135,49612,192.168.199.134,445,TCP,1
192.130.199.135,49612,192.168.199.134,445,TCP,1
192.131.199.134,445,192.168.199.135,49612,TCP,1
192.134.199.134,445,192.168.199.135,49612,TCP,1
192.134.199.135,49612,192.168.199.134,445,TCP,1
192.135.199.134,445,192.168.199.135,49612,TCP,1
192.136.199.134,445,192.168.199.135,49612,TCP,1
192.136.199.135,49612,192.168.199.134,445,TCP,1
192.138.199.135,49612,192.168.199.134,445,TCP,1
192.139.199.135,49612,192.168.199.134,445,TCP,1
192.141.199.134,445,192.168.199.135,49612,TCP,1
192.141.199.135,49612,192.168.199.134,445,TCP,1
192.143.199.134,445,192.168.199.135,49612,TCP,1
192.143.199.135,49612,192.168.199.134,445,TCP,1
192.144.199.134,445,192.168.199.135,49612,TCP,1
192.144.199.135,49612,192.168.199.134,445,TCP,1
192.146.199.134,445,192.168.199.135,49612,TCP,1
192.146.199.135,49612,192.168.199.134,445,TCP,1
192.147.199.134,445,192.168.199.135,49612,TCP,1
192.148.199.134,445,192.168.199.135,49612,TCP,1
192.149.199.134,445,192.168.199.135,49612,TCP,1
192.149.199.135,49612,192.168.199.134,445,TCP,1
192.15.199.135,49612,192.168.199.134,445,TCP,1
192.150.199.135,49612,192.168.199.134,445,TCP,1
192.151.199.135,49612,192.168.199.134,445,TCP,1
192.153.199.135,49612,192.168.199.134,445,TCP,1
192.154.199.135,49612,192.168.199.134,445,TCP,1
192.156.199.134,445,192.168.199.135,49612,TCP,1
192.156.199.135,49612,192.168.199.134,445,TCP,1
192.158.199.135,49612,192.168.199.134,445,TCP,1
192.159.199.134,445,192.168.199.135,49612,TCP,1
192.16.199.135,49612,192.168.199.134,445,TCP,1
192.160.199.133,49671,192.168.199.134,445,TCP,1
192.160.199.134,445,192.168.199.135,49612,TCP,1
192.160.199.135,49612,192.168.199.134,445,TCP,1
192.161.199.135,49612,192.168.199.134,445,TCP,1
192.162.199.135,49612,192.168.199.134,445,TCP,1
192.165.199.134,445,192.168.199.135,49612,TCP,1
192.166.199.134,445,192.168.199.135,49612,TCP,1
192.166.199.135,49612,192.168.199.134,445,TCP,1
192.167.199.134,445,192.168.199.135,49612,TCP,1
192.168.0.134,445,192.168.199.135,49612,TCP,1
192.168.0.135,49612,192.168.199.134,445,TCP,1
192.168.1.135,49612,192.168.199.134,445,TCP,1
192.168.100.134,445,192.168.199.135,49612,TCP,1
192.168.100.135,49612,192.168.199.134,445,TCP,1
192.168.101.134,445,192.168.199.135,49612,TCP,1
192.168.101.135,49612,192.168.199.134,445,TCP,1
192.168.102.134,445,192.168.199.135,49612,TCP,1
192.168.102.135,49612,192.168.199.134,445,TCP,1
192.168.103.134,445,192.168.199.135,49612,TCP,1
192.168.103.135,49612,192.168.199.134,445,TCP,1
192.168.104.134,445,192.168.199.135,49612,TCP,1
192.168.104.135,49612,192.168.199.134,445,TCP,1
192.168.105.134,445,192.168.199.135,49612,TCP,1
192.168.105.135,49612,192.168.199.134,445,TCP,1
192.168.106.134,445,192.168.199.135,49612,TCP,1
192.168.106.135,49612,192.168.199.134,445,TCP,1
192.168.107.134,445,192.168.199.135,49612,TCP,1
192.168.107.135,49612,192.168.199.134,445,TCP,1
192.168.108.134,445,192.168.199.135,49612,TCP,1
192.168.108.135,49612,192.168.199.134,445,TCP,1
192.168.109.134,445,192.168.199.135,49612,TCP,1
192.168.109.135,49612,192.168.199.134,445,TCP,1
192.168.11.134,445,192.168.199.135,49612,TCP,1
192.168.11.135,49612,192.168.199.134,445,TCP,1
192.168.110.134,445,192.168.199.135,49612,TCP,1
192.168.110.135,49612,192.168.199.134,445,TCP,1
192.168.111.134,445,192.168.199.135,49612,TCP,1
192.168.111.135,49612,192.168.199.134,445,TCP,1
192.168.112.134,445,192.168.199.135,49612,TCP,1
192.168.112.135,49612,192.168.199.134,445,TCP,1
192.168.113.134,445,192.168.199.135,49612,TCP,1
192.168.113.135,49612,192.168.199.134,445,TCP,1
192.168.114.134,445,192.168.199.135,49612,TCP,1
192.168.114.135,49612,192.168.199.134,445,TCP,1
192.168.115.134,445,192.168.199.135,49612,TCP,1
192.168.115.135,49612,192.168.199.134,445,TCP,1
192.168.116.134,445,192.168.199.135,49612,TCP,1
192.168.116.135,49612,192.168.199.134,445,TCP,1
192.168.117.134,445,192.168.199.135,49612,TCP,1
192.168.117.135,49612,192.168.199.134,445,TCP,1
192.168.118.134,445,192.168.199.135,49612,TCP,1
192.168.118.135,49612,192.168.199.134,445,TCP,1
192.168.119.134,445,192.168.199.135,49612,TCP,1
192.168.119.135,49612,192.168.199.134,445,TCP,1
192.168.120.134,445,192.168.199.135,49612,TCP,1
192.168.120.135,49612,192.168.199.134,445,TCP,1
192.168.121.134,445,192.168.199.135,49612,TCP,1
192.168.121.135,49612,192.168.199.134,445,TCP,1
192.168.122.134,445,192.168.199.135,49612,TCP,1
192.168.122.135,49612,192.168.199.134,445,TCP,1
192.168.123.134,445,192.168.199.135,49612,TCP,1
192.168.124.135,49612,192.168.199.134,445,TCP,1
192.168.126.134,445,192.168.199.135,49612,TCP,1
192.168.127.134,445,192.168.199.135,49612,TCP,1
192.168.127.135,49612,192.168.199.134,445,TCP,1
192.168.129.134,445,192.168.199.135,49612,TCP,1
192.168.131.134,445,192.168.199.135,49612,TCP,1
192.168.133.134,445,192.168.199.135,49612,TCP,1
192.168.133.135,49612,192.168.199.134,445,TCP,1
192.168.134.134,445,192.168.199.135,49612,TCP,1
192.168.135.134,445,192.168.199.133,49671,TCP,1
192.168.135.134,445,192.168.199.135,49612,TCP,1
192.168.135.135,49612,192.168.199.134,445,TCP,1
192.168.137.134,445,192.168.199.135,49612,TCP,1
192.168.138.135,49612,192.168.199.134,445,TCP,1
192.168.140.134,445,192.168.199.135,49612,TCP,1
192.168.141.134,445,192.168.199.135,49612,TCP,1
192.168.141.135,49612,192.168.199.134,445,TCP,1
192.168.142.134,445,192.168.199.135,49612,TCP,1
192.168.142.135,49612,192.168.199.134,445,TCP,1
192.168.143.134,445,192.168.199.135,49612,TCP,1
192.168.143.135,49612,192.168.199.134,445,TCP,1
192.168.144.134,445,192.168.199.135,49612,TCP,1
192.168.145.135,49612,192.168.199.134,445,TCP,1
192.168.146.134,445,192.168.199.135,49612,TCP,1
192.168.147.134,445,192.168.199.135,49612,TCP,1
192.168.147.135,49612,192.168.199.134,445,TCP,1
192.168.148.134,445,192.168.199.135,49612,TCP,1
192.168.148.135,49612,192.168.199.134,445,TCP,1
192.168.15.134,445,192.168.199.135,49612,TCP,1
192.168.152.135,49612,192.168.199.134,445,TCP,1
192.168.153.135,49612,192.168.199.134,445,TCP,1
192.168.155.135,49612,192.168.199.134,445,TCP,1
192.168.158.134,445,192.168.199.135,49612,TCP,1
192.168.159.134,445,192.168.199.135,49612,TCP,1
192.168.159.135,49612,192.168.199.134,445,TCP,1
192.168.16.135,49612,192.168.199.134,445,TCP,1
192.168.160.134,445,192.168.199.135,49612,TCP,1
192.168.162.135,49612,192.168.199.134,445,TCP,1
192.168.163.135,49612,192.168.199.134,445,TCP,1
192.168.164.134,445,192.168.199.135,49612,TCP,1
192.168.165.134,445,192.168.199.135,49612,TCP,1
192.168.165.135,49612,192.168.199.134,445,TCP,1
192.168.166.134,445,192.168.199.135,49612,TCP,1
192.168.167.134,445,192.168.199.135,49612,TCP,1
192.168.169.135,49612,192.168.199.134,445,TCP,1
192.168.17.135,49612,192.168.199.134,445,TCP,1
192.168.170.135,49612,192.168.199.134,445,TCP,1
192.168.170.170,43690,170.170.170.170,43690,TCP,1
192.168.171.135,49612,192.168.199.134,445,TCP,1
192.168.172.134,445,192.168.199.135,49612,TCP,1
192.168.172.135,49612,192.168.199.134,445,TCP,1
192.168.173.135,49612,192.168.199.134,445,TCP,1
192.168.174.135,49612,192.168.199.134,445,TCP,1
192.168.175.134,445,192.168.199.135,49612,TCP,1
192.168.176.134,445,192.168.199.135,49612,TCP,1
192.168.176.135,49612,192.168.199.134,445,TCP,1
192.168.177.134,445,192.168.199.135,49612,TCP,1
192.168.179.134,445,192.168.199.135,49612,TCP,1
192.168.18.135,49612,192.168.199.134,445,TCP,1
192.168.180.134,445,192.168.199.135,49612,TCP,1
192.168.181.135,49612,192.168.199.134,445,TCP,1
192.168.183.135,49612,192.168.199.134,445,TCP,1
192.168.185.134,445,192.168.199.135,49612,TCP,1
192.168.185.135,49612,192.168.199.134,445,TCP,1
