src_fi,dst_fi,src_port_fi,dst_port_fi,protocol_fi,src_fj,dst_fj,src_port_fj,dst_port_fj,protocol_fj,Ni,Nj,Tij,S_dep
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49671,324,TCP,1,1,1,1.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.169.199.134,49671,445,TCP,1,1,1,1.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,9472,445,TCP,1,1,7,7.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.119,49671,445,TCP,1,1,7,7.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49671,426,TCP,1,1,6,6.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,37.0.199.134,49671,445,TCP,1,2,1,0.7071067811865475
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.170.170,43690,43690,TCP,1,1,14,14.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49671,8637,TCP,1,1,2,2.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49927,445,TCP,1,1,11,11.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49671,9472,TCP,1,1,6,6.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49703,445,TCP,1,1,9,9.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,35847,445,TCP,1,1,6,6.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.78,49671,445,TCP,1,1,3,3.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.136.199.134,49671,445,TCP,1,1,6,6.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49671,13501,TCP,1,1,3,3.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.1,49673,139,TCP,1,1,3,3.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,49671,4541,TCP,1,1,16,16.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.37,7,445,TCP,1,1,15,15.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,49671,293,TCP,1,1,31,31.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,49671,338,TCP,1,1,36,36.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,22535,445,TCP,1,1,22,22.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,49671,429,TCP,1,1,12,12.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,49667,445,TCP,1,1,69,69.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,49671,444,TCP,1,1,17,17.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.37.0,49671,445,TCP,1,1,34,34.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,200.168.199.134,49671,445,TCP,1,1,19,19.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.160.199.134,49671,445,TCP,1,1,25,25.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.215.134,49671,445,TCP,1,1,9,9.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.231.134,49671,445,TCP,1,1,72,72.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,49671,509,TCP,1,1,25,25.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.150,49671,445,TCP,1,1,12,12.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,53767,445,TCP,1,1,51,51.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,49716,445,TCP,1,1,16,16.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.170.170.170,43690,43690,TCP,1,1,31,31.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,43690,43690,TCP,1,1,28,28.0
