src,src_port,dst,dst_port,protocol,start,end,duration,packets,bytes,occurrence_id
192.168.199.134,445,192.168.199.1,51393,TCP,1476813789.051596,1476813789.051596,0.000000,1,55,3
192.168.199.134,445,192.168.199.1,51393,TCP,1476813870.247182,1476813943.62755,73.380368,136,19414,4
192.168.199.1,51393,192.160.199.134,445,TCP,1476813392.384381,1476813392.384381,0.000000,1,54,1
192.168.199.1,82,192.168.199.134,0,TCP,1476813392.387238,1476813392.387238,0.000000,1,154,1
192.168.199.1,51393,192.168.199.134,317,TCP,1476813392.455056,1476813392.455056,0.000000,1,54,1
192.168.199.1,51393,192.168.199.134,317,TCP,1476813516.69688,1476813516.69688,0.00000,1,156,2
192.168.199.135,63594,192.168.199.1,53,UDP,1476813394.05363,1476813402.103606,8.049976,4,340,1
192.168.199.133,49671,192.168.199.134,444,TCP,1476813397.600064,1476813397.600064,0.000000,1,93,1
192.168.199.133,49671,192.168.199.134,444,TCP,1476813930.198697,1476813946.25967,16.060973,4,504,2
192.45.199.134,445,145.168.199.54,49671,TCP,1476813397.600214,1476813397.600214,0.000000,1,93,1
192.168.199.135,63594,192.168.199.1,309,UDP,1476813398.094047,1476813398.094047,0.000000,1,85,1
192.168.199.133,61638,192.168.199.1,53,UDP,1476813404.61695,1476813412.647339,8.030389,5,360,1
192.168.199.135,63037,192.168.199.1,162,UDP,1476813446.142651,1476813446.142651,0.000000,1,85,1
192.168.199.135,63037,192.168.199.1,53,UDP,1476813447.15614,1476813447.15614,0.00000,1,85,1
192.168.199.1,51393,192.168.199.134,282,TCP,1476813447.832188,1476813447.832188,0.000000,1,156,1
192.168.199.134,43690,170.170.170.170,43690,TCP,1476813447.832431,1476813447.832431,0.000000,1,142,1
192.168.199.134,43690,170.170.170.170,43690,TCP,1476813601.670827,1476813601.670827,0.000000,1,93,2
192.168.199.134,43690,170.170.170.170,43690,TCP,1476813943.423434,1476814009.594036,66.170602,75,6979,3
192.168.199.1,51393,192.232.199.134,445,TCP,1476813447.96459,1476813447.96459,0.00000,1,166,1
192.168.199.1,51393,192.232.199.134,445,TCP,1476813653.307427,1476813653.307427,0.000000,1,182,2
192.168.199.220,51393,192.168.199.134,445,TCP,1476813447.965567,1476813447.965567,0.000000,1,130,1
192.168.199.1,51393,192.118.199.134,445,TCP,1476813447.965851,1476813447.965851,0.000000,1,166,1
192.49.199.134,445,192.168.199.1,51393,TCP,1476813447.993125,1476813447.993125,0.000000,1,158,1
100.168.199.1,51393,192.168.199.134,445,TCP,1476813447.993172,1476813447.993172,0.000000,1,146,1
192.168.199.134,445,192.168.37.0,51393,TCP,1476813447.993742,1476813447.993742,0.000000,1,193,1
192.168.199.134,445,192.168.37.0,51393,TCP,1476813649.35539,1476813649.35539,0.00000,1,142,2
192.168.199.1,51393,192.168.199.134,293,TCP,1476813447.997933,1476813452.684579,4.686646,2,286,1
192.168.199.134,445,192.168.104.1,51393,TCP,1476813448.000586,1476813448.000586,0.000000,1,158,1
192.168.199.1,193,192.168.199.37,445,TCP,1476813448.000987,1476813448.000987,0.000000,1,156,1
192.168.199.134,445,192.168.199.1,51265,TCP,1476813448.001935,1476813448.001935,0.000000,1,158,1
138.168.199.134,445,192.168.199.1,51393,TCP,1476813448.019129,1476813448.019129,0.000000,1,142,1
192.168.199.134,445,192.168.199.1,49345,TCP,1476813448.019673,1476813448.019673,0.000000,1,158,1
192.168.199.134,8637,192.168.199.1,51393,TCP,1476813448.022105,1476813448.022105,0.000000,1,142,1
192.168.199.134,445,192.168.199.1,27585,TCP,1476813448.055708,1476813448.055708,0.000000,1,142,1
192.168.199.80,63037,192.168.199.1,53,UDP,1476813448.170447,1476813448.170447,0.000000,1,85,1
192.168.199.1,137,192.168.199.255,137,UDP,1476813452.493404,1476813453.243824,0.750420,2,184,1
192.168.199.1,137,192.168.199.255,137,UDP,1476813870.593463,1476813872.094348,1.500885,3,276,2
194.168.199.1,51393,192.168.199.134,445,TCP,1476813452.549987,1476813452.549987,0.000000,1,54,1
192.168.199.134,445,192.168.199.1,51452,TCP,1476813452.618259,1476813452.618259,0.000000,1,158,1
192.168.199.1,12920,192.168.199.134,0,TCP,1476813452.618554,1476813452.618554,0.000000,1,166,1
192.168.199.132,445,192.168.199.1,51393,TCP,1476813452.684481,1476813452.684481,0.000000,1,158,1
192.168.199.132,445,192.168.199.1,51393,TCP,1476813870.248266,1476813870.248266,0.000000,1,193,2
