src,src_port,dst,dst_port,protocol,start,end,duration,packets,bytes,occurrence_id
192.168.199.134,445,192.82.199.135,49612,TCP,1476813971.104293,1476814004.600316,33.496023,9,837,2
192.168.68.134,445,192.168.199.135,49612,TCP,1476813976.853813,1476814010.346517,33.492704,10,930,2
192.168.199.134,445,192.168.199.135,33228,TCP,1476813967.613584,1476814009.843314,42.229730,49,4557,2
192.168.199.134,445,192.99.199.135,49612,TCP,1476813976.85154,1476814004.619245,27.767705,13,1209,2
85.168.199.134,445,192.168.199.135,49612,TCP,1476813967.440403,1476814010.509365,43.068962,12,1116,2
192.168.199.134,445,192.168.199.135,43690,TCP,1476813966.981874,1476814010.429075,43.447201,75,6975,2
192.168.199.135,50892,192.168.199.134,445,TCP,1476813969.500156,1476813999.93235,30.432194,3,351,2
192.168.199.135,49612,192.170.199.134,445,TCP,1476813967.002499,1476814009.510767,42.508268,47,5499,2
192.168.160.134,445,192.168.199.135,49612,TCP,1476814004.213492,1476814004.379584,0.166092,2,186,2
192.168.199.135,49481,192.168.199.134,445,TCP,1476813971.492111,1476813984.398503,12.906392,5,585,2
192.168.199.135,204,192.168.199.37,445,TCP,1476813966.947515,1476814010.401513,43.453998,147,17199,2
192.168.199.135,16844,192.168.199.134,445,TCP,1476813966.90299,1476814009.623023,42.720033,65,7605,2
192.168.199.134,445,244.168.199.135,49612,TCP,1476813975.963717,1476814008.092396,32.128679,4,372,2
192.168.199.134,445,192.168.199.135,18636,TCP,1476813970.664016,1476814006.015582,35.351566,8,744,2
192.168.199.7,49612,192.168.199.134,445,TCP,1476813967.8312,1476814010.231403,42.400203,57,6669,2
192.168.24.134,445,192.168.199.135,49612,TCP,1476813966.914364,1476814006.826186,39.911822,4,372,2
192.168.199.135,64710,192.168.199.1,53,UDP,1476813548.856477,1476813552.896419,4.039942,4,340,1
192.168.199.134,9472,192.168.199.135,49612,TCP,1476813966.973644,1476814010.479857,43.506213,145,13485,2
192.168.199.134,189,192.168.199.135,49612,TCP,1476813966.856753,1476814010.256226,43.399473,49,4557,2
192.168.199.135,49612,192.37.0.134,445,TCP,1476813966.90473,1476814010.451021,43.546291,160,18720,2
192.168.199.199,49612,192.168.199.134,445,TCP,1476813966.82576,1476814008.642605,41.816845,53,6201,2
192.168.199.135,53708,192.168.199.134,445,TCP,1476813967.653147,1476814010.405931,42.752784,61,7137,2
192.168.199.135,49612,192.168.198.134,445,TCP,1476813970.913674,1476814010.53457,39.620896,51,5967,2
192.168.199.135,57804,192.168.199.134,445,TCP,1476813967.202081,1476814010.412793,43.210712,48,5616,2
192.168.199.134,31165,192.168.199.135,49612,TCP,1476813970.812541,1476814008.399159,37.586618,6,558,2
192.168.199.135,49612,192.168.199.134,447,TCP,1476813966.981461,1476814010.438725,43.457264,47,5499,2
192.168.199.37,445,0.168.199.135,49612,TCP,1476813966.845006,1476814009.602357,42.757351,132,12276,2
192.168.199.135,49612,192.168.67.134,445,TCP,1476813967.864013,1476814007.862826,39.998813,8,936,2
192.168.199.135,49458,192.168.199.134,445,TCP,1476813967.429432,1476814009.318129,41.888697,11,1287,2
192.168.199.134,445,192.168.199.135,49516,TCP,1476813969.042949,1476814002.760103,33.717154,10,930,2
192.168.199.135,49612,192.168.199.134,8637,TCP,1476813967.504906,1476814010.234821,42.729915,58,6786,2
192.118.199.134,445,192.168.199.135,49612,TCP,1476813966.730676,1476814009.475192,42.744516,8,744,2
